duration,"(-13.125, -12.784]","(-12.102, -11.761]","(-11.42, -11.08]","(-10.057, -9.716]","(-9.375, -9.034]","(-8.352, -8.011]","(-6.307, -5.966]","(-5.284, -4.943]","(-3.239, -2.898]","(-0.17, 0.17]","(2.898, 3.239]","(4.943, 5.284]","(5.966, 6.307]","(6.648, 6.989]","(8.011, 8.352]","(9.375, 9.716]","(9.716, 10.057]","(13.125, 13.466]","(20.284, 20.625]"
"(1.0, 5.192]",,,0.0072992700729927005,0.014598540145985401,,0.029197080291970802,0.014598540145985401,0.014598540145985401,,,0.014598540145985401,0.058394160583941604,0.072992700729927,,0.014598540145985401,,0.029197080291970802,,
"(5.192, 9.384]",,,,,,,0.014598540145985401,0.014598540145985401,,,0.014598540145985401,,,,0.014598540145985401,,0.014598540145985401,,
"(13.576, 17.768]",,0.014598540145985401,,0.014598540145985401,,,,,0.029197080291970802,,,,,,,,,,
"(17.768, 21.96]",,,,,,0.029197080291970802,0.014598540145985401,,,0.0072992700729927005,,,0.014598540145985401,,,,,0.014598540145985401,
"(21.96, 26.152]",,,0.0072992700729927005,,,,,,,,,,0.029197080291970802,,,,,,
"(26.152, 30.343]",,,,,,,0.029197080291970802,,,,0.014598540145985401,,,,,,0.014598540145985401,,
"(30.343, 34.535]",,,,,,,,,0.014598540145985401,,,,,,,,,,
"(34.535, 38.727]",,,,0.014598540145985401,,,,,0.014598540145985401,,0.014598540145985401,,,,0.014598540145985401,,,,
"(42.919, 47.111]",,,,,,,0.014598540145985401,,,,,,,,,,,,
"(47.111, 51.303]",0.014598540145985401,,,0.014598540145985401,,,,,,,,,,,0.014598540145985401,,,,
"(51.303, 55.495]",,,,,,,0.014598540145985401,,0.014598540145985401,,,,,,,,,,
"(55.495, 59.687]",,,,,,,,,,,,,,0.014598540145985401,,,,,
"(63.879, 68.071]",,,,,,,,,,,,,,,0.014598540145985401,,,,
"(68.071, 72.263]",,,,,,,,,0.014598540145985401,,,,,,,,,,
"(80.646, 84.838]",,,,,,,,0.014598540145985401,,,0.014598540145985401,,,,,,,,
"(105.798, 109.99]",,,,,,,,,0.014598540145985401,,,,,,,,,,
"(109.99, 114.182]",,,,,,,,,,,,,0.014598540145985401,,,0.014598540145985401,,,
"(118.374, 122.566]",,,,,,0.014598540145985401,,,,,,,0.014598540145985401,,,,,,
"(135.141, 139.333]",,,,0.014598540145985401,,,,,,,,,,,0.014598540145985401,,,,
"(139.333, 143.525]",,,,,,,0.014598540145985401,,,,,,,,,,,,
"(151.909, 156.101]",,,,,,,0.014598540145985401,,,,,,,,,,,,
"(206.404, 210.596]",,,,,,,,,,,,,,,,,,,0.014598540145985401
"(210.596, 214.788]",,,,,0.014598540145985401,,,,,,,,,,,,,,
"(218.98, 223.172]",,,,,,,,,0.014598540145985401,,,,,,,,,,
"(411.808, 416.0]",,,,,,,,,,,0.014598540145985401,,,,,,,,
